FileName,AroMean,ValMean
1379,6.8,8
1380,5.2,7
1381,6,6.8
1382,5,6.4
1383,3.2,6
1385,8.2,7.8
1386,5.8,7.8
1388,7.4,7.8
1389,6.6,7
1390,6,6
1391,6.4,5.8
1392,6.4,7
1393,8.2,8.4
1395,5.8,6.8
1396,7.6,5.6
1397,7.2,6
1399,6.4,8.8
1400,5.8,8.8
1401,5.4,6.8
1402,5.2,7.2
1403,6,7
1405,6,8
1406,4.6,6.6
1407,4,6.4
1408,3.4,7.6
1410,3.6,6.8
1411,4.8,7
1412,7.6,8
1413,6,7.8
1414,5,5.6
1415,8.2,8.6
1416,5.8,8
1419,7,6.4
1420,6.2,6.4
1422,5.8,6.6
1423,7.2,7.4
1424,7.2,8.4
1426,6.6,8.2
1428,7.2,7.8
1429,7.4,8.6
1430,6.8,8.6
1431,5.4,7.6
1433,6.4,6.8
1434,7.6,8.2
1435,6.8,7.6
1436,7.2,6.8
1437,5.4,5.4
1438,6,7
1439,7.4,6.8
1440,5.6,5.2
1441,7,6
1442,6.2,7.8
1443,6,7.4
1445,6,7.2
1447,6.2,7
1448,7,7
1449,7,6.4
1450,7.4,8.4
1453,6.4,6.8
1455,6.6,6.4
1456,6.4,8.6
1457,6.8,8
1458,5.6,7.2
1459,5.4,7.4
1460,6.6,4.6
1461,4.6,6.2
1462,7.4,6.6
1463,6.2,7
1464,7.8,4.6
1465,5.8,8.4
1466,7.8,6.8
1467,5,6
1468,7.4,7.4
1470,6.6,7
1471,6.6,7
1473,8.2,8.6
1474,8,8.4
1475,6.2,6.8
1477,8.4,7.4
1478,5.8,7.2
1479,7.2,6.8
1480,7.4,7.8
1481,6,7.2
1483,6,6.6
1484,6.2,7.2
1486,6.8,8
1487,5.2,7.8
1488,5.2,5
1489,6.2,6.8
1490,5.6,7.4
1493,6.4,6.6
1496,6,7.4
1497,4.4,5.8
1498,7,6.6
1499,6,7.2
1500,5.6,7
1501,7,5.8
1502,3.8,6.2
1503,7.2,7.6
1504,4.2,6.4
1505,7.6,8.4
1506,5,5.6
1507,8,6.2
1508,6.8,6.6
1509,8.2,8
1511,5.6,7.4
1512,6.2,6.4
1513,6,5.8
1514,6.2,7.2
1515,7.8,7
1516,6,4.8
1517,7.2,7.4
1518,7.8,8
1519,5.6,5.8
1520,7.2,7.2
1521,4,5.8
1522,4.4,6.8
1523,6,7
1524,6.4,6.8
1526,5.2,5.8
1527,7.8,7.2
1528,3.8,6.6
1529,5.8,5.2
1530,5.4,7.2
1531,4.8,6.4
1532,6.8,6.2
1533,7,7.2
1534,7.4,8.2
1535,6,7.4
1536,8.6,8.8
1537,5,7.2
1538,7,7.4
1539,6.4,7
1540,6.4,6.2
1541,6.6,7.4
1542,5.4,7.8
1543,7,6.8
1544,5.6,7.4
1545,7.8,7.6
1548,5,7.6
1549,5.8,4.6
1550,6,7.6
1552,5.6,8.2
1553,6.4,8.4
1554,4.6,6.2
1555,5,7.4
1556,6.2,5.8
1557,5.6,8.2
1558,7.4,8.6
1559,7.4,8
1560,5,4
1561,5.2,6.4
1562,5.2,6.4
1563,6.4,8.8
1564,6.8,7
1565,5.6,7.4
1566,7.2,7.4
1567,6.8,8.6
1568,4.8,7.8
1569,5.2,7.8
1570,7.8,8.4
1571,7.4,7.6
1572,6.6,7.8
1573,7.2,7.4
1574,5.6,6.6
1575,5.6,7
1576,7,7.8
1577,5.6,6.8
1578,5.6,8
1579,6.4,7
1580,2.8,4.6
1581,3.2,5.8
1582,5.4,7.6
1584,4.4,5.8
1585,6.4,7.8
1586,5.6,7.4
1588,6.4,7.4
1589,6.8,6.4
1590,6.8,7
